t,p_1,p_2
0,26,0.19
1,23,0.18
2,19,0.18
3,16,0.18
4,12,0.17
5,10,0.17
6,9,0.17
7,7.6,0.17
8,6.6,0.17
9,6,0.16
10,5.3,0.16
11,4.9,0.16
12,4.4,0.16
13,4,0.16
14,3.5,0.16
15,3.4,0.15
16,3.1,0.15
17,2.7,0.15
18,2.6,0.15
19,2.5,0.14
20,2.3,0.15
21,2.1,0.14
22,2,0.14
23,1.9,0.13
24,1.7,0.13
25,1.6,0.13
26,1.5,0.13
27,1.4,0.13
28,1.3,0.13
29,1.3,0.13
30,1.2,0.13
31,1.1,0.13
32,1.1,0.13
33,0.98,0.13
34,0.91,0.12
35,0.85,0.13
36,0.8,0.12
37,0.74,0.12
38,0.69,0.12
39,0.65,0.12
40,0.61,0.12
41,0.57,0.12
42,0.54,0.11
43,0.51,0.11
44,0.47,0.12
45,0.44,0.11
46,0.42,0.11
47,0.39,0.11
48,0.37,0.11
49,0.34,0.11
50,0.32,0.1
51,0.3,0.11
52,0.28,0.11
53,0.26,0.1
54,0.25,0.1
55,0.24,0.1
56,0.23,0.1
57,0.21,0.1
58,0.2,0.1
59,0.19,0.1
60,0.18,0.1
65,0.14,0.095
70,0.098,0.09
75,0.06,0.09
80,0.04,0.09
85,0.023,0.08
90,0.013,0.075
95,0.013,0.08
100,0.013,0.07
105,0.013,0.07
110,0.013,0.07
115,0.013,0.07
120,0.013,0.065
125,0.013,0.06
130,0.013,0.06
135,0.05,0.06
140,0.045,0.06
145,0.042,0.055
150,0.04,0.055
155,0.038,0.055
160,0.036,0.055
165,0.035,0.055
170,0.034,0.055
175,0.032,0.055
180,0.031,0.055
190,0.029,0.05
200,0.028,0.05
210,0.026,0.05
220,0.025,0.05
230,0.024,0.045
240,0.022,0.045
250,0.021,0.04
260,0.02,0.04
270,0.019,0.045
280,0.018,0.04
290,0.018,0.045
300,0.017,0.04
320,0.016,0.035
340,0.016,0.035
360,0.015,0.03
380,0.015,0.03
400,0.014,0.03
420,0.014,0.03
440,0.013,0.03
460,0.013,0.03
480,0.013,0.03
540,0.012,0.025
600,0.011,0.02
660,0.01,0.025
720,0.0099,0.025
780,0.0094,0.02
840,0.0091,0.025
900,0.0087,0.02
960,0.0084,0.02
1020,0.0082,0.02
1080,0.0079,0.02
1140,0.0077,0.02
1200,0.0075,0.02
1320,0.0071,0.015
1440,0.0068,0.015
1560,0.0066,0.02
1680,0.0064,0.015
1800,0.0062,0.015
1920,0.006,0.015
2040,0.0058,0.015
2160,0.0057,0.015
2280,0.0055,0.015
2400,0.0054,0.015
2640,0.0052,0.015
2880,0.0051,0.015
3120,0.0049,0.015
3240,0.0048,0.015